x	y
-5.000000	-0.262375
-4.999000	-0.281618
-4.998000	-0.300746
-4.997000	-0.319749
-4.996000	-0.338621
-4.995000	-0.357353
-4.994000	-0.375940
-4.993000	-0.394372
-4.992000	-0.412644
-4.991000	-0.430747
-4.990000	-0.448675
-4.989000	-0.466421
-4.988000	-0.483978
-4.987000	-0.501338
-4.986000	-0.518495
-4.985000	-0.535443
-4.984000	-0.552175
-4.983000	-0.568683
-4.982000	-0.584963
-4.981000	-0.601007
-4.980000	-0.616809
-4.979000	-0.632364
-4.978000	-0.647664
-4.977000	-0.662705
-4.976000	-0.677479
-4.975000	-0.691983
-4.974000	-0.706210
-4.973000	-0.720154
-4.972000	-0.733811
-4.971000	-0.747174
-4.970000	-0.760240
-4.969000	-0.773003
-4.968000	-0.785457
-4.967000	-0.797599
-4.966000	-0.809424
-4.965000	-0.820927
-4.964000	-0.832104
-4.963000	-0.842951
-4.962000	-0.853463
-4.961000	-0.863637
-4.960000	-0.873469
-4.959000	-0.882955
-4.958000	-0.892092
-4.957000	-0.900876
-4.956000	-0.909305
-4.955000	-0.917374
-4.954000	-0.925082
-4.953000	-0.932424
-4.952000	-0.939400
-4.951000	-0.946005
-4.950000	-0.952238
-4.949000	-0.958096
-4.948000	-0.963578
-4.947000	-0.968681
-4.946000	-0.973405
-4.945000	-0.977746
-4.944000	-0.981703
-4.943000	-0.985277
-4.942000	-0.988464
-4.941000	-0.991264
-4.940000	-0.993677
-4.939000	-0.995701
-4.938000	-0.997337
-4.937000	-0.998582
-4.936000	-0.999439
-4.935000	-0.999905
-4.934000	-0.999982
-4.933000	-0.999670
-4.932000	-0.998968
-4.931000	-0.997878
-4.930000	-0.996399
-4.929000	-0.994534
-4.928000	-0.992282
-4.927000	-0.989646
-4.926000	-0.986625
-4.925000	-0.983223
-4.924000	-0.979439
-4.923000	-0.975276
-4.922000	-0.970736
-4.921000	-0.965821
-4.920000	-0.960532
-4.919000	-0.954873
-4.918000	-0.948845
-4.917000	-0.942451
-4.916000	-0.935694
-4.915000	-0.928577
-4.914000	-0.921102
-4.913000	-0.913273
-4.912000	-0.905093
-4.911000	-0.896565
-4.910000	-0.887693
-4.909000	-0.878480
-4.908000	-0.868931
-4.907000	-0.859049
-4.906000	-0.848837
-4.905000	-0.838301
-4.904000	-0.827445
-4.903000	-0.816272
-4.902000	-0.804788
-4.901000	-0.792997
-4.900000	-0.780903
-4.899000	-0.768512
-4.898000	-0.755828
-4.897000	-0.742857
-4.896000	-0.729604
-4.895000	-0.716073
-4.894000	-0.702271
-4.893000	-0.688202
-4.892000	-0.673873
-4.891000	-0.659289
-4.890000	-0.644455
-4.889000	-0.629378
-4.888000	-0.614063
-4.887000	-0.598517
-4.886000	-0.582745
-4.885000	-0.566754
-4.884000	-0.550549
-4.883000	-0.534138
-4.882000	-0.517527
-4.881000	-0.500722
-4.880000	-0.483729
-4.879000	-0.466555
-4.878000	-0.449208
-4.877000	-0.431692
-4.876000	-0.414017
-4.875000	-0.396187
-4.874000	-0.378210
-4.873000	-0.360094
-4.872000	-0.341844
-4.871000	-0.323468
-4.870000	-0.304973
-4.869000	-0.286366
-4.868000	-0.267655
-4.867000	-0.248846
-4.866000	-0.229946
-4.865000	-0.210963
-4.864000	-0.191904
-4.863000	-0.172777
-4.862000	-0.153588
-4.861000	-0.134345
-4.860000	-0.115055
-4.859000	-0.095725
-4.858000	-0.076364
-4.857000	-0.056977
-4.856000	-0.037573
-4.855000	-0.018159
-4.854000	0.001258
-4.853000	0.020670
-4.852000	0.040071
-4.851000	0.059453
-4.850000	0.078808
-4.849000	0.098130
-4.848000	0.117410
-4.847000	0.136643
-4.846000	0.155820
-4.845000	0.174935
-4.844000	0.193980
-4.843000	0.212949
-4.842000	0.231833
-4.841000	0.250627
-4.840000	0.269323
-4.839000	0.287914
-4.838000	0.306393
-4.837000	0.324754
-4.836000	0.342990
-4.835000	0.361093
-4.834000	0.379058
-4.833000	0.396877
-4.832000	0.414544
-4.831000	0.432053
-4.830000	0.449397
-4.829000	0.466569
-4.828000	0.483564
-4.827000	0.500375
-4.826000	0.516996
-4.825000	0.533421
-4.824000	0.549644
-4.823000	0.565659
-4.822000	0.581460
-4.821000	0.597041
-4.820000	0.612398
-4.819000	0.627523
-4.818000	0.642412
-4.817000	0.657060
-4.816000	0.671460
-4.815000	0.685609
-4.814000	0.699500
-4.813000	0.713129
-4.812000	0.726491
-4.811000	0.739581
-4.810000	0.752395
-4.809000	0.764927
-4.808000	0.777174
-4.807000	0.789130
-4.806000	0.800793
-4.805000	0.812157
-4.804000	0.823219
-4.803000	0.833975
-4.802000	0.844420
-4.801000	0.854552
-4.800000	0.864367
-4.799000	0.873861
-4.798000	0.883031
-4.797000	0.891874
-4.796000	0.900387
-4.795000	0.908567
-4.794000	0.916410
-4.793000	0.923916
-4.792000	0.931080
-4.791000	0.937900
-4.790000	0.944375
-4.789000	0.950502
-4.788000	0.956279
-4.787000	0.961704
-4.786000	0.966775
-4.785000	0.971491
-4.784000	0.975850
-4.783000	0.979851
-4.782000	0.983492
-4.781000	0.986773
-4.780000	0.989692
-4.779000	0.992249
-4.778000	0.994443
-4.777000	0.996273
-4.776000	0.997739
-4.775000	0.998841
-4.774000	0.999578
-4.773000	0.999950
-4.772000	0.999958
-4.771000	0.999602
-4.770000	0.998882
-4.769000	0.997798
-4.768000	0.996352
-4.767000	0.994543
-4.766000	0.992374
-4.765000	0.989844
-4.764000	0.986955
-4.763000	0.983708
-4.762000	0.980105
-4.761000	0.976147
-4.760000	0.971837
-4.759000	0.967174
-4.758000	0.962163
-4.757000	0.956803
-4.756000	0.951099
-4.755000	0.945052
-4.754000	0.938664
-4.753000	0.931938
-4.752000	0.924877
-4.751000	0.917483
-4.750000	0.909759
-4.749000	0.901708
-4.748000	0.893334
-4.747000	0.884640
-4.746000	0.875628
-4.745000	0.866303
-4.744000	0.856668
-4.743000	0.846726
-4.742000	0.836482
-4.741000	0.825938
-4.740000	0.815101
-4.739000	0.803972
-4.738000	0.792557
-4.737000	0.780860
-4.736000	0.768885
-4.735000	0.756636
-4.734000	0.744119
-4.733000	0.731337
-4.732000	0.718297
-4.731000	0.705001
-4.730000	0.691456
-4.729000	0.677667
-4.728000	0.663637
-4.727000	0.649374
-4.726000	0.634881
-4.725000	0.620165
-4.724000	0.605230
-4.723000	0.590082
-4.722000	0.574727
-4.721000	0.559170
-4.720000	0.543418
-4.719000	0.527474
-4.718000	0.511346
-4.717000	0.495040
-4.716000	0.478561
-4.715000	0.461915
-4.714000	0.445108
